payment_id,payment_date,customer_id,payment_amount,related_document_id,data_source
P0067,2026-06-09,C002,46800,I0067,synthetic_enterprise_mock
P0068,2026-05-24,C003,54600,I0068,synthetic_enterprise_mock
P0069,2026-05-25,C003,51200,I0069,synthetic_enterprise_mock
P0070,2026-05-27,C003,33600,I0070,synthetic_enterprise_mock
P0071,2026-06-02,C001,37800,I0071,synthetic_enterprise_mock
P0072,2026-06-03,C001,20400,I0072,synthetic_enterprise_mock
P0073,2026-06-18,C002,28800,I0073,synthetic_enterprise_mock
P0074,2026-06-17,C002,46800,I0074,synthetic_enterprise_mock
P0075,2026-06-15,C003,59800,I0075,synthetic_enterprise_mock
P0076,2026-06-15,C003,36400,I0077,synthetic_enterprise_mock
P0077,2026-06-07,C001,36000,I0078,synthetic_enterprise_mock
P0078,2026-06-09,C001,19200,I0079,synthetic_enterprise_mock
P0079,2026-06-25,C002,27600,I0080,synthetic_enterprise_mock
P0080,2026-06-22,C002,46800,I0081,synthetic_enterprise_mock
P0081,2026-06-23,C003,48000,I0083,synthetic_enterprise_mock
P0082,2026-06-17,C001,37800,I0085,synthetic_enterprise_mock
P0083,2026-06-16,C001,19200,I0086,synthetic_enterprise_mock
P0084,2026-07-02,C002,26400,I0087,synthetic_enterprise_mock
P0085,2026-06-30,C002,44200,I0088,synthetic_enterprise_mock
P0086,2026-07-01,C003,46800,I0089,synthetic_enterprise_mock
P0087,2026-07-01,C003,28000,I0091,synthetic_enterprise_mock
P0088,2026-06-23,C001,36000,I0092,synthetic_enterprise_mock
P0089,2026-06-21,C001,19200,I0093,synthetic_enterprise_mock
P0090,2026-07-07,C002,24000,I0094,synthetic_enterprise_mock
P0091,2026-07-09,C002,39000,I0095,synthetic_enterprise_mock
P0092,2026-07-09,C003,41600,I0097,synthetic_enterprise_mock
P0093,2026-06-28,C001,36000,I0099,synthetic_enterprise_mock
P0094,2026-07-01,C001,18000,I0100,synthetic_enterprise_mock
P0095,2026-07-15,C002,21600,I0101,synthetic_enterprise_mock
P0096,2026-07-16,C002,36400,I0102,synthetic_enterprise_mock
P0097,2026-07-17,C003,41600,I0103,synthetic_enterprise_mock
P0098,2026-07-17,C003,28000,I0105,synthetic_enterprise_mock
P0099,2026-07-05,C001,36000,I0106,synthetic_enterprise_mock
P0100,2026-07-06,C001,18000,I0107,synthetic_enterprise_mock
P0101,2026-07-22,C002,21600,I0108,synthetic_enterprise_mock
P0102,2026-07-20,C002,33800,I0109,synthetic_enterprise_mock
P0103,2026-07-25,C003,32000,I0111,synthetic_enterprise_mock
P0104,2026-07-12,C001,36000,I0113,synthetic_enterprise_mock
P0105,2026-07-12,C001,19200,I0114,synthetic_enterprise_mock
P0106,2026-07-28,C002,24000,I0115,synthetic_enterprise_mock
P0107,2026-07-27,C002,39000,I0116,synthetic_enterprise_mock
P0108,2026-08-02,C003,36400,I0117,synthetic_enterprise_mock
P0109,2026-08-02,C003,25200,I0119,synthetic_enterprise_mock
P0110,2026-07-27,C001,36000,I0120,synthetic_enterprise_mock
P0111,2026-07-20,C001,18000,I0121,synthetic_enterprise_mock
P0112,2026-07-29,C001,37800,I0127,synthetic_enterprise_mock
P0113,2026-07-26,C001,19200,I0128,synthetic_enterprise_mock
P0114,2026-08-03,C001,41400,I0134,synthetic_enterprise_mock
