sale_id,sale_date,customer_id,sales_amount,sku_id,quantity,region,channel_tier,data_source
O0138,2026-07-06,C003,28600,S003,11,华东,二级,synthetic_enterprise_mock
O0139,2026-07-06,C003,25600,S004,8,华东,二级,synthetic_enterprise_mock
O0140,2026-07-06,C003,19600,S005,7,华东,二级,synthetic_enterprise_mock
O0141,2026-07-13,C001,36000,S001,20,华东,一级,synthetic_enterprise_mock
O0142,2026-07-13,C001,20400,S002,17,华东,一级,synthetic_enterprise_mock
O0143,2026-07-13,C002,14400,S002,12,华南,二级,synthetic_enterprise_mock
O0144,2026-07-13,C002,26000,S003,10,华南,二级,synthetic_enterprise_mock
O0145,2026-07-13,C003,31200,S003,12,华东,二级,synthetic_enterprise_mock
O0146,2026-07-13,C003,28800,S004,9,华东,二级,synthetic_enterprise_mock
O0147,2026-07-13,C003,19600,S005,7,华东,二级,synthetic_enterprise_mock
O0148,2026-07-20,C001,39600,S001,22,华东,一级,synthetic_enterprise_mock
O0149,2026-07-20,C001,19200,S002,16,华东,一级,synthetic_enterprise_mock
O0150,2026-07-20,C002,13200,S002,11,华南,二级,synthetic_enterprise_mock
O0151,2026-07-20,C002,20800,S003,8,华南,二级,synthetic_enterprise_mock
O0152,2026-07-20,C003,26000,S003,10,华东,二级,synthetic_enterprise_mock
O0153,2026-07-20,C003,22400,S004,7,华东,二级,synthetic_enterprise_mock
O0154,2026-07-20,C003,16800,S005,6,华东,二级,synthetic_enterprise_mock
O0155,2026-07-27,C001,39600,S001,22,华东,一级,synthetic_enterprise_mock
O0156,2026-07-27,C001,21600,S002,18,华东,一级,synthetic_enterprise_mock
O0157,2026-07-27,C002,10800,S002,9,华南,二级,synthetic_enterprise_mock
O0158,2026-07-27,C002,20800,S003,8,华南,二级,synthetic_enterprise_mock
O0159,2026-07-27,C003,23400,S003,9,华东,二级,synthetic_enterprise_mock
O0160,2026-07-27,C003,19200,S004,6,华东,二级,synthetic_enterprise_mock
O0161,2026-07-27,C003,14000,S005,5,华东,二级,synthetic_enterprise_mock
O0162,2026-08-03,C001,37800,S001,21,华东,一级,synthetic_enterprise_mock
O0163,2026-08-03,C001,21600,S002,18,华东,一级,synthetic_enterprise_mock
O0164,2026-08-03,C002,10800,S002,9,华南,二级,synthetic_enterprise_mock
O0165,2026-08-03,C002,20800,S003,8,华南,二级,synthetic_enterprise_mock
O0166,2026-08-03,C003,18200,S003,7,华东,二级,synthetic_enterprise_mock
O0167,2026-08-03,C003,19200,S004,6,华东,二级,synthetic_enterprise_mock
O0168,2026-08-03,C003,11200,S005,4,华东,二级,synthetic_enterprise_mock
