order_id,order_date,customer_id,sku_id,quantity,revenue,gross_profit,return_flag,data_source
O0081,2026-05-11,C002,S003,18,46800,3510.0,0,synthetic
O0082,2026-05-11,C003,S003,20,52000,3900.0,0,synthetic
O0083,2026-05-11,C003,S004,15,48000,3600.0,0,synthetic
O0084,2026-05-11,C003,S005,12,33600,2520.0,0,synthetic
O0085,2026-05-18,C001,S001,21,37800,2835.0,0,synthetic
O0086,2026-05-18,C001,S002,16,19200,1440.0,0,synthetic
O0087,2026-05-18,C002,S002,22,26400,1980.0,0,synthetic
O0088,2026-05-18,C002,S003,17,44200,3315.0,0,synthetic
O0089,2026-05-18,C003,S003,18,46800,3510.0,0,synthetic
O0090,2026-05-18,C003,S004,13,41600,3120.0,0,synthetic
O0091,2026-05-18,C003,S005,10,28000,2100.0,0,synthetic
O0092,2026-05-25,C001,S001,20,36000,2700.0,0,synthetic
O0093,2026-05-25,C001,S002,16,19200,1440.0,0,synthetic
O0094,2026-05-25,C002,S002,20,24000,1800.0,0,synthetic
O0095,2026-05-25,C002,S003,15,39000,2925.0,0,synthetic
O0096,2026-05-25,C003,S003,17,44200,3315.0,0,synthetic
O0097,2026-05-25,C003,S004,13,41600,3120.0,0,synthetic
O0098,2026-05-25,C003,S005,10,28000,2100.0,0,synthetic
O0099,2026-06-01,C001,S001,20,36000,2700.0,0,synthetic
O0100,2026-06-01,C001,S002,15,18000,1350.0,0,synthetic
O0101,2026-06-01,C002,S002,18,21600,1620.0,0,synthetic
O0102,2026-06-01,C002,S003,14,36400,2730.0,0,synthetic
O0103,2026-06-01,C003,S003,16,41600,3120.0,0,synthetic
O0104,2026-06-01,C003,S004,11,35200,2640.0,0,synthetic
O0105,2026-06-01,C003,S005,10,28000,2100.0,0,synthetic
O0106,2026-06-08,C001,S001,20,36000,2700.0,0,synthetic
O0107,2026-06-08,C001,S002,15,18000,1350.0,0,synthetic
O0108,2026-06-08,C002,S002,18,21600,1620.0,0,synthetic
O0109,2026-06-08,C002,S003,13,33800,2535.0,0,synthetic
O0110,2026-06-08,C003,S003,14,36400,2730.0,0,synthetic
O0111,2026-06-08,C003,S004,10,32000,2400.0,0,synthetic
O0112,2026-06-08,C003,S005,9,25200,1890.0,0,synthetic
O0113,2026-06-15,C001,S001,20,36000,2700.0,0,synthetic
O0114,2026-06-15,C001,S002,16,19200,1440.0,0,synthetic
O0115,2026-06-15,C002,S002,20,24000,1800.0,0,synthetic
O0116,2026-06-15,C002,S003,15,39000,2925.0,0,synthetic
O0117,2026-06-15,C003,S003,14,36400,2730.0,0,synthetic
O0118,2026-06-15,C003,S004,11,35200,2640.0,0,synthetic
O0119,2026-06-15,C003,S005,9,25200,1890.0,0,synthetic
O0120,2026-06-22,C001,S001,20,36000,2700.0,0,synthetic
O0121,2026-06-22,C001,S002,15,18000,1350.0,0,synthetic
O0122,2026-06-22,C002,S002,15,18000,1350.0,0,synthetic
O0123,2026-06-22,C002,S003,12,31200,2340.0,0,synthetic
O0124,2026-06-22,C003,S003,13,33800,2535.0,0,synthetic
O0125,2026-06-22,C003,S004,9,28800,2160.0,0,synthetic
O0126,2026-06-22,C003,S005,8,22400,1680.0,0,synthetic
O0127,2026-06-29,C001,S001,21,37800,2835.0,0,synthetic
O0128,2026-06-29,C001,S002,16,19200,1440.0,0,synthetic
O0129,2026-06-29,C002,S002,14,16800,1260.0,0,synthetic
O0130,2026-06-29,C002,S003,11,28600,2145.0,0,synthetic
O0131,2026-06-29,C003,S003,12,31200,2340.0,0,synthetic
O0132,2026-06-29,C003,S004,10,32000,2400.0,0,synthetic
O0133,2026-06-29,C003,S005,7,19600,1470.0,0,synthetic
O0134,2026-07-06,C001,S001,23,41400,3105.0,0,synthetic
O0135,2026-07-06,C001,S002,20,24000,1800.0,0,synthetic
O0136,2026-07-06,C002,S002,13,15600,1170.0,0,synthetic
O0137,2026-07-06,C002,S003,9,23400,1755.0,0,synthetic
O0138,2026-07-06,C003,S003,11,28600,2145.0,0,synthetic
O0139,2026-07-06,C003,S004,8,25600,1920.0,0,synthetic
O0140,2026-07-06,C003,S005,7,19600,1470.0,0,synthetic
O0141,2026-07-13,C001,S001,20,36000,2700.0,0,synthetic
O0142,2026-07-13,C001,S002,17,20400,1530.0,0,synthetic
O0143,2026-07-13,C002,S002,12,14400,1080.0,0,synthetic
O0144,2026-07-13,C002,S003,10,26000,1950.0,0,synthetic
O0145,2026-07-13,C003,S003,12,31200,2340.0,0,synthetic
O0146,2026-07-13,C003,S004,9,28800,2160.0,0,synthetic
O0147,2026-07-13,C003,S005,7,19600,1470.0,0,synthetic
O0148,2026-07-20,C001,S001,22,39600,2970.0,0,synthetic
O0149,2026-07-20,C001,S002,16,19200,1440.0,0,synthetic
O0150,2026-07-20,C002,S002,11,13200,990.0,0,synthetic
O0151,2026-07-20,C002,S003,8,20800,1560.0,0,synthetic
O0152,2026-07-20,C003,S003,10,26000,1950.0,0,synthetic
O0153,2026-07-20,C003,S004,7,22400,1680.0,0,synthetic
O0154,2026-07-20,C003,S005,6,16800,1260.0,0,synthetic
O0155,2026-07-27,C001,S001,22,39600,2970.0,0,synthetic
O0156,2026-07-27,C001,S002,18,21600,1620.0,0,synthetic
O0157,2026-07-27,C002,S002,9,10800,810.0,0,synthetic
O0158,2026-07-27,C002,S003,8,20800,1560.0,0,synthetic
O0159,2026-07-27,C003,S003,9,23400,1755.0,0,synthetic
O0160,2026-07-27,C003,S004,6,19200,1440.0,0,synthetic
O0161,2026-07-27,C003,S005,5,14000,1050.0,0,synthetic
O0162,2026-08-03,C001,S001,21,37800,2835.0,0,synthetic
O0163,2026-08-03,C001,S002,18,21600,1620.0,0,synthetic
O0164,2026-08-03,C002,S002,9,10800,810.0,0,synthetic
O0165,2026-08-03,C002,S003,8,20800,1560.0,0,synthetic
O0166,2026-08-03,C003,S003,7,18200,1365.0,0,synthetic
O0167,2026-08-03,C003,S004,6,19200,1440.0,0,synthetic
O0168,2026-08-03,C003,S005,4,11200,840.0,0,synthetic
