invoice_id,order_id,customer_id,issue_date,due_date,invoice_amount,open_amount,dispute_flag,data_source
I0038,O0038,C002,2026-03-30,2026-05-14,28800,0,0,synthetic
I0039,O0039,C002,2026-03-30,2026-05-14,49400,0,0,synthetic
I0040,O0040,C003,2026-03-30,2026-04-29,57200,0,0,synthetic
I0041,O0041,C003,2026-03-30,2026-04-29,51200,0,0,synthetic
I0042,O0042,C003,2026-03-30,2026-04-29,39200,0,0,synthetic
I0043,O0043,C001,2026-04-06,2026-05-06,39600,0,0,synthetic
I0044,O0044,C001,2026-04-06,2026-05-06,20400,0,0,synthetic
I0045,O0045,C002,2026-04-06,2026-05-21,32400,0,0,synthetic
I0046,O0046,C002,2026-04-06,2026-05-21,57200,0,0,synthetic
I0047,O0047,C003,2026-04-06,2026-05-06,57200,0,0,synthetic
I0048,O0048,C003,2026-04-06,2026-05-06,54400,0,0,synthetic
I0049,O0049,C003,2026-04-06,2026-05-06,39200,0,0,synthetic
I0050,O0050,C001,2026-04-13,2026-05-13,46800,0,0,synthetic
I0051,O0051,C001,2026-04-13,2026-05-13,24000,0,0,synthetic
I0052,O0052,C002,2026-04-13,2026-05-28,30000,0,0,synthetic
I0053,O0053,C002,2026-04-13,2026-05-28,46800,0,0,synthetic
I0054,O0054,C003,2026-04-13,2026-05-13,54600,0,0,synthetic
I0055,O0055,C003,2026-04-13,2026-05-13,54400,0,0,synthetic
I0056,O0056,C003,2026-04-13,2026-05-13,33600,0,0,synthetic
I0057,O0057,C001,2026-04-20,2026-05-20,36000,0,0,synthetic
I0058,O0058,C001,2026-04-20,2026-05-20,21600,0,0,synthetic
I0059,O0059,C002,2026-04-20,2026-06-04,27600,0,0,synthetic
I0060,O0060,C002,2026-04-20,2026-06-04,46800,0,0,synthetic
I0061,O0061,C003,2026-04-20,2026-05-20,67600,0,0,synthetic
I0062,O0062,C003,2026-04-20,2026-05-20,60800,0,0,synthetic
I0063,O0063,C003,2026-04-20,2026-05-20,39200,0,0,synthetic
I0064,O0064,C001,2026-04-27,2026-05-27,37800,0,0,synthetic
I0065,O0065,C001,2026-04-27,2026-05-27,19200,0,0,synthetic
I0066,O0066,C002,2026-04-27,2026-06-11,27600,0,0,synthetic
I0067,O0067,C002,2026-04-27,2026-06-11,46800,0,0,synthetic
I0068,O0068,C003,2026-04-27,2026-05-27,54600,0,0,synthetic
I0069,O0069,C003,2026-04-27,2026-05-27,51200,0,0,synthetic
I0070,O0070,C003,2026-04-27,2026-05-27,33600,0,0,synthetic
I0071,O0071,C001,2026-05-04,2026-06-03,37800,0,0,synthetic
I0072,O0072,C001,2026-05-04,2026-06-03,20400,0,0,synthetic
I0073,O0073,C002,2026-05-04,2026-06-18,28800,0,0,synthetic
I0074,O0074,C002,2026-05-04,2026-06-18,46800,0,0,synthetic
I0075,O0075,C003,2026-05-04,2026-06-03,59800,0,0,synthetic
I0076,O0076,C003,2026-05-04,2026-06-03,54400,54400,0,synthetic
I0077,O0077,C003,2026-05-04,2026-06-03,36400,0,0,synthetic
I0078,O0078,C001,2026-05-11,2026-06-10,36000,0,0,synthetic
I0079,O0079,C001,2026-05-11,2026-06-10,19200,0,0,synthetic
I0080,O0080,C002,2026-05-11,2026-06-25,27600,0,0,synthetic
I0081,O0081,C002,2026-05-11,2026-06-25,46800,0,0,synthetic
I0082,O0082,C003,2026-05-11,2026-06-10,52000,52000,0,synthetic
I0083,O0083,C003,2026-05-11,2026-06-10,48000,0,0,synthetic
I0084,O0084,C003,2026-05-11,2026-06-10,33600,33600,0,synthetic
I0085,O0085,C001,2026-05-18,2026-06-17,37800,0,0,synthetic
I0086,O0086,C001,2026-05-18,2026-06-17,19200,0,0,synthetic
I0087,O0087,C002,2026-05-18,2026-07-02,26400,0,0,synthetic
I0088,O0088,C002,2026-05-18,2026-07-02,44200,0,0,synthetic
I0089,O0089,C003,2026-05-18,2026-06-17,46800,0,0,synthetic
I0090,O0090,C003,2026-05-18,2026-06-17,41600,41600,0,synthetic
I0091,O0091,C003,2026-05-18,2026-06-17,28000,0,0,synthetic
I0092,O0092,C001,2026-05-25,2026-06-24,36000,0,0,synthetic
I0093,O0093,C001,2026-05-25,2026-06-24,19200,0,0,synthetic
I0094,O0094,C002,2026-05-25,2026-07-09,24000,0,0,synthetic
I0095,O0095,C002,2026-05-25,2026-07-09,39000,0,0,synthetic
I0096,O0096,C003,2026-05-25,2026-06-24,44200,44200,0,synthetic
I0097,O0097,C003,2026-05-25,2026-06-24,41600,0,0,synthetic
I0098,O0098,C003,2026-05-25,2026-06-24,28000,28000,0,synthetic
I0099,O0099,C001,2026-06-01,2026-07-01,36000,0,0,synthetic
I0100,O0100,C001,2026-06-01,2026-07-01,18000,0,0,synthetic
I0101,O0101,C002,2026-06-01,2026-07-16,21600,0,0,synthetic
I0102,O0102,C002,2026-06-01,2026-07-16,36400,0,0,synthetic
I0103,O0103,C003,2026-06-01,2026-07-01,41600,0,0,synthetic
I0104,O0104,C003,2026-06-01,2026-07-01,35200,35200,0,synthetic
I0105,O0105,C003,2026-06-01,2026-07-01,28000,0,0,synthetic
I0106,O0106,C001,2026-06-08,2026-07-08,36000,0,0,synthetic
I0107,O0107,C001,2026-06-08,2026-07-08,18000,0,0,synthetic
I0108,O0108,C002,2026-06-08,2026-07-23,21600,0,0,synthetic
I0109,O0109,C002,2026-06-08,2026-07-23,33800,0,0,synthetic
I0110,O0110,C003,2026-06-08,2026-07-08,36400,36400,0,synthetic
I0111,O0111,C003,2026-06-08,2026-07-08,32000,0,0,synthetic
I0112,O0112,C003,2026-06-08,2026-07-08,25200,25200,0,synthetic
I0113,O0113,C001,2026-06-15,2026-07-15,36000,0,0,synthetic
I0114,O0114,C001,2026-06-15,2026-07-15,19200,0,0,synthetic
I0115,O0115,C002,2026-06-15,2026-07-30,24000,0,0,synthetic
I0116,O0116,C002,2026-06-15,2026-07-30,39000,0,0,synthetic
I0117,O0117,C003,2026-06-15,2026-07-15,36400,0,0,synthetic
I0118,O0118,C003,2026-06-15,2026-07-15,35200,35200,0,synthetic
I0119,O0119,C003,2026-06-15,2026-07-15,25200,0,0,synthetic
I0120,O0120,C001,2026-06-22,2026-07-22,36000,0,0,synthetic
I0121,O0121,C001,2026-06-22,2026-07-22,18000,0,0,synthetic
I0122,O0122,C002,2026-06-22,2026-08-06,18000,18000,0,synthetic
I0123,O0123,C002,2026-06-22,2026-08-06,31200,31200,0,synthetic
I0124,O0124,C003,2026-06-22,2026-07-22,33800,33800,0,synthetic
I0125,O0125,C003,2026-06-22,2026-07-22,28800,28800,0,synthetic
I0126,O0126,C003,2026-06-22,2026-07-22,22400,22400,0,synthetic
I0127,O0127,C001,2026-06-29,2026-07-29,37800,0,0,synthetic
I0128,O0128,C001,2026-06-29,2026-07-29,19200,0,0,synthetic
I0129,O0129,C002,2026-06-29,2026-08-13,16800,16800,0,synthetic
I0130,O0130,C002,2026-06-29,2026-08-13,28600,28600,0,synthetic
I0131,O0131,C003,2026-06-29,2026-07-29,31200,31200,0,synthetic
I0132,O0132,C003,2026-06-29,2026-07-29,32000,32000,0,synthetic
I0133,O0133,C003,2026-06-29,2026-07-29,19600,19600,0,synthetic
I0134,O0134,C001,2026-07-06,2026-08-05,41400,0,0,synthetic
I0135,O0135,C001,2026-07-06,2026-08-05,24000,24000,0,synthetic
I0136,O0136,C002,2026-07-06,2026-08-20,15600,15600,0,synthetic
I0137,O0137,C002,2026-07-06,2026-08-20,23400,23400,0,synthetic
I0138,O0138,C003,2026-07-06,2026-08-05,28600,28600,0,synthetic
I0139,O0139,C003,2026-07-06,2026-08-05,25600,25600,0,synthetic
I0140,O0140,C003,2026-07-06,2026-08-05,19600,19600,0,synthetic
I0141,O0141,C001,2026-07-13,2026-08-12,36000,36000,0,synthetic
I0142,O0142,C001,2026-07-13,2026-08-12,20400,20400,0,synthetic
I0143,O0143,C002,2026-07-13,2026-08-27,14400,14400,0,synthetic
I0144,O0144,C002,2026-07-13,2026-08-27,26000,26000,0,synthetic
I0145,O0145,C003,2026-07-13,2026-08-12,31200,31200,0,synthetic
I0146,O0146,C003,2026-07-13,2026-08-12,28800,28800,0,synthetic
I0147,O0147,C003,2026-07-13,2026-08-12,19600,19600,0,synthetic
I0148,O0148,C001,2026-07-20,2026-08-19,39600,39600,0,synthetic
I0149,O0149,C001,2026-07-20,2026-08-19,19200,19200,0,synthetic
I0150,O0150,C002,2026-07-20,2026-09-03,13200,13200,0,synthetic
I0151,O0151,C002,2026-07-20,2026-09-03,20800,20800,0,synthetic
I0152,O0152,C003,2026-07-20,2026-08-19,26000,26000,0,synthetic
I0153,O0153,C003,2026-07-20,2026-08-19,22400,22400,0,synthetic
I0154,O0154,C003,2026-07-20,2026-08-19,16800,16800,0,synthetic
I0155,O0155,C001,2026-07-27,2026-08-26,39600,39600,0,synthetic
I0156,O0156,C001,2026-07-27,2026-08-26,21600,21600,0,synthetic
I0157,O0157,C002,2026-07-27,2026-09-10,10800,10800,0,synthetic
I0158,O0158,C002,2026-07-27,2026-09-10,20800,20800,0,synthetic
I0159,O0159,C003,2026-07-27,2026-08-26,23400,23400,0,synthetic
I0160,O0160,C003,2026-07-27,2026-08-26,19200,19200,0,synthetic
I0161,O0161,C003,2026-07-27,2026-08-26,14000,14000,0,synthetic
I0162,O0162,C001,2026-08-03,2026-09-02,37800,37800,0,synthetic
I0163,O0163,C001,2026-08-03,2026-09-02,21600,21600,0,synthetic
I0164,O0164,C002,2026-08-03,2026-09-17,10800,10800,0,synthetic
I0165,O0165,C002,2026-08-03,2026-09-17,20800,20800,0,synthetic
I0166,O0166,C003,2026-08-03,2026-09-02,18200,18200,0,synthetic
I0167,O0167,C003,2026-08-03,2026-09-02,19200,19200,0,synthetic
I0168,O0168,C003,2026-08-03,2026-09-02,11200,11200,0,synthetic
