order_id,customer_id,order_date,order_amount,late_within_120d,data_source,prior_order_count,prior_late_rate,prior_sales_growth
D01-06,DEMO-C02,2025-07-01,109385.5,0,portable_synthetic_demo,6,0.0,0.07782852276450106
D01-07,DEMO-C02,2025-08-01,81908.05,0,portable_synthetic_demo,7,0.0,0.3727512414441098
D01-08,DEMO-C02,2025-09-01,100086.73,0,portable_synthetic_demo,8,0.0,-0.25119828496464336
D01-09,DEMO-C02,2025-10-01,87928.44,0,portable_synthetic_demo,9,0.0,0.22194009013766036
D01-10,DEMO-C02,2025-11-01,91058.92,0,portable_synthetic_demo,10,0.0,-0.12147754252736595
D01-11,DEMO-C02,2025-12-01,85135.91,0,portable_synthetic_demo,11,0.0,0.03560258774066725
D01-12,DEMO-C02,2026-01-01,69880.97,0,portable_synthetic_demo,12,0.0,-0.0650459065405124
D01-13,DEMO-C02,2026-02-01,106476.98,1,portable_synthetic_demo,13,0.0,-0.17918337867064557
D01-14,DEMO-C02,2026-03-01,106552.42,0,portable_synthetic_demo,14,0.07142857142857142,0.5236906413863459
D01-15,DEMO-C02,2026-04-01,77237.88,0,portable_synthetic_demo,15,0.06666666666666667,0.0007085099521042232
D01-16,DEMO-C02,2026-05-01,71652.78,0,portable_synthetic_demo,16,0.0625,-0.2751184815886865
D01-17,DEMO-C02,2026-06-01,84902.72,0,portable_synthetic_demo,17,0.058823529411764705,-0.07231037413248532
D02-00,DEMO-C03,2025-01-01,104375.88,0,portable_synthetic_demo,0,0.0,0.0
D02-01,DEMO-C03,2025-02-01,95689.37,0,portable_synthetic_demo,1,0.0,0.0
D02-02,DEMO-C03,2025-03-01,87955.21,0,portable_synthetic_demo,2,0.0,-0.08322334623669768
D02-03,DEMO-C03,2025-04-01,89324.66,0,portable_synthetic_demo,3,0.0,-0.0808256967309952
D02-04,DEMO-C03,2025-05-01,116427.23,0,portable_synthetic_demo,4,0.0,0.015569856521290745
D02-05,DEMO-C03,2025-06-01,97374.54,0,portable_synthetic_demo,5,0.0,0.3034164361778706
D02-06,DEMO-C03,2025-07-01,83638.63,0,portable_synthetic_demo,6,0.0,-0.16364462162330928
D02-07,DEMO-C03,2025-08-01,82830.08,0,portable_synthetic_demo,7,0.0,-0.1410626432741042
D02-08,DEMO-C03,2025-09-01,114773.11,0,portable_synthetic_demo,8,0.0,-0.009667183692511497
D02-09,DEMO-C03,2025-10-01,98099.12,0,portable_synthetic_demo,9,0.0,0.38564528731591224
D02-10,DEMO-C03,2025-11-01,83963.44,0,portable_synthetic_demo,10,0.0,-0.14527784426160453
D02-11,DEMO-C03,2025-12-01,94533.4,0,portable_synthetic_demo,11,0.0,-0.14409588995293734
D02-12,DEMO-C03,2026-01-01,83316.09,0,portable_synthetic_demo,12,0.0,0.12588764824309237
D02-13,DEMO-C03,2026-02-01,125723.88,0,portable_synthetic_demo,13,0.0,-0.11865975411865011
D02-14,DEMO-C03,2026-03-01,101908.25,0,portable_synthetic_demo,14,0.0,0.5089988020321166
D02-15,DEMO-C03,2026-04-01,127600.74,0,portable_synthetic_demo,15,0.0,-0.1894280545589271
D02-16,DEMO-C03,2026-05-01,84868.06,0,portable_synthetic_demo,16,0.0,0.25211393581972025
D02-17,DEMO-C03,2026-06-01,91500.24,0,portable_synthetic_demo,17,0.0,-0.33489366911195034
D03-00,DEMO-C04,2025-01-01,121749.09,0,portable_synthetic_demo,0,0.0,0.0
D03-01,DEMO-C04,2025-02-01,126346.67,0,portable_synthetic_demo,1,0.0,0.0
D03-02,DEMO-C04,2025-03-01,139081.73,0,portable_synthetic_demo,2,0.0,0.03776274631703614
D03-03,DEMO-C04,2025-04-01,121676.21,0,portable_synthetic_demo,3,0.0,0.10079458366413624
D03-04,DEMO-C04,2025-05-01,129609.92,0,portable_synthetic_demo,4,0.0,-0.12514598430721277
D03-05,DEMO-C04,2025-06-01,140821.86,0,portable_synthetic_demo,5,0.0,0.06520346089017723
D03-06,DEMO-C04,2025-07-01,118829.84,1,portable_synthetic_demo,6,0.0,0.08650526132567621
D03-07,DEMO-C04,2025-08-01,125053.34,0,portable_synthetic_demo,7,0.14285714285714285,-0.15616907772699487
D03-08,DEMO-C04,2025-09-01,118836.03,0,portable_synthetic_demo,8,0.125,0.05237320861494049
D03-09,DEMO-C04,2025-10-01,139956.12,0,portable_synthetic_demo,9,0.1111111111111111,-0.049717264648829036
D03-10,DEMO-C04,2025-11-01,89383.97,0,portable_synthetic_demo,10,0.1,0.17772463452372145
D03-11,DEMO-C04,2025-12-01,104372.55,0,portable_synthetic_demo,11,0.09090909090909091,-0.3613428980454731
D03-12,DEMO-C04,2026-01-01,142862.33,0,portable_synthetic_demo,12,0.08333333333333333,0.1676875618749089
D03-13,DEMO-C04,2026-02-01,125497.56,0,portable_synthetic_demo,13,0.07692307692307693,0.36877301551030406
D03-14,DEMO-C04,2026-03-01,135376.43,0,portable_synthetic_demo,14,0.07142857142857142,-0.12154897655666116
D03-15,DEMO-C04,2026-04-01,132577.64,0,portable_synthetic_demo,15,0.06666666666666667,0.0787176260638055
D03-16,DEMO-C04,2026-05-01,95641.94,0,portable_synthetic_demo,16,0.0625,-0.020674130644455457
D03-17,DEMO-C04,2026-06-01,116502.47,1,portable_synthetic_demo,17,0.058823529411764705,-0.27859675281593493
D04-00,DEMO-C05,2025-01-01,97022.98,0,portable_synthetic_demo,0,0.0,0.0
D04-01,DEMO-C05,2025-02-01,146302.09,0,portable_synthetic_demo,1,0.0,0.0
D04-02,DEMO-C05,2025-03-01,104851.53,0,portable_synthetic_demo,2,0.0,0.5079117339005667
D04-03,DEMO-C05,2025-04-01,140080.93,0,portable_synthetic_demo,3,0.0,-0.28332172151470975
D04-04,DEMO-C05,2025-05-01,122511.38,0,portable_synthetic_demo,4,0.0,0.3359931896082012
D04-05,DEMO-C05,2025-06-01,121668.56,0,portable_synthetic_demo,5,0.0,-0.12542428152068943
D04-06,DEMO-C05,2025-07-01,140271.01,0,portable_synthetic_demo,6,0.0,-0.006879524171550487
D04-07,DEMO-C05,2025-08-01,154567.73,0,portable_synthetic_demo,7,0.0,0.1528944700257816
D04-08,DEMO-C05,2025-09-01,146635.21,0,portable_synthetic_demo,8,0.0,0.10192212916981207
D04-09,DEMO-C05,2025-10-01,99772.86,0,portable_synthetic_demo,9,0.0,-0.0513206734678708
D04-10,DEMO-C05,2025-11-01,141877.95,0,portable_synthetic_demo,10,0.0,-0.3195845663534699
D04-11,DEMO-C05,2025-12-01,102886.59,1,portable_synthetic_demo,11,0.0,0.42200945226988595
D04-12,DEMO-C05,2026-01-01,119464.71,0,portable_synthetic_demo,12,0.08333333333333333,-0.27482325477637654
D04-13,DEMO-C05,2026-02-01,139306.2,1,portable_synthetic_demo,13,0.07692307692307693,0.16113003647997284
D04-14,DEMO-C05,2026-03-01,112949.51,0,portable_synthetic_demo,14,0.14285714285714285,0.16608662089415363
D04-15,DEMO-C05,2026-04-01,104137.0,0,portable_synthetic_demo,15,0.13333333333333333,-0.18919969104031273
D04-16,DEMO-C05,2026-05-01,120698.79,0,portable_synthetic_demo,16,0.125,-0.07802167534856942
D04-17,DEMO-C05,2026-06-01,98618.92,0,portable_synthetic_demo,17,0.11764705882352941,0.1590384781585795
D05-00,DEMO-C06,2025-01-01,136917.87,0,portable_synthetic_demo,0,0.0,0.0
D05-01,DEMO-C06,2025-02-01,112230.91,0,portable_synthetic_demo,1,0.0,0.0
D05-02,DEMO-C06,2025-03-01,119064.51,0,portable_synthetic_demo,2,0.0,-0.1803048791220605
D05-03,DEMO-C06,2025-04-01,120949.35,0,portable_synthetic_demo,3,0.0,0.060888751592587026
D05-04,DEMO-C06,2025-05-01,126983.11,0,portable_synthetic_demo,4,0.0,0.01583040991811927
D05-05,DEMO-C06,2025-06-01,117563.04,0,portable_synthetic_demo,5,0.0,0.04988666743558353
D05-06,DEMO-C06,2025-07-01,147670.88,0,portable_synthetic_demo,6,0.0,-0.0741836453682699
D05-07,DEMO-C06,2025-08-01,142001.88,0,portable_synthetic_demo,7,0.0,0.2560995360446618
D05-08,DEMO-C06,2025-09-01,166806.79,0,portable_synthetic_demo,8,0.0,-0.03838942383224099
D05-09,DEMO-C06,2025-10-01,170137.8,0,portable_synthetic_demo,9,0.0,0.17468015212192967
D05-10,DEMO-C06,2025-11-01,165659.94,1,portable_synthetic_demo,10,0.0,0.019969271035069857
D05-11,DEMO-C06,2025-12-01,151304.45,0,portable_synthetic_demo,11,0.09090909090909091,-0.026319019053966764
D05-12,DEMO-C06,2026-01-01,147837.77,0,portable_synthetic_demo,12,0.08333333333333333,-0.08665637570555676
D05-13,DEMO-C06,2026-02-01,126570.35,0,portable_synthetic_demo,13,0.07692307692307693,-0.02291195004509135
D05-14,DEMO-C06,2026-03-01,138230.44,0,portable_synthetic_demo,14,0.07142857142857142,-0.1438564718610135
D05-15,DEMO-C06,2026-04-01,164643.1,0,portable_synthetic_demo,15,0.06666666666666667,0.09212339224786845
D05-16,DEMO-C06,2026-05-01,145289.74,0,portable_synthetic_demo,16,0.0625,0.19107701603206936
D05-17,DEMO-C06,2026-06-01,149234.59,0,portable_synthetic_demo,17,0.058823529411764705,-0.11754734938785782
D06-00,DEMO-C07,2025-01-01,133050.9,1,portable_synthetic_demo,0,0.0,0.0
D06-01,DEMO-C07,2025-02-01,157435.58,0,portable_synthetic_demo,1,1.0,0.0
D06-02,DEMO-C07,2025-03-01,187846.89,0,portable_synthetic_demo,2,0.5,0.1832733187073518
D06-03,DEMO-C07,2025-04-01,165289.18,0,portable_synthetic_demo,3,0.3333333333333333,0.19316669078235066
D06-04,DEMO-C07,2025-05-01,163934.64,1,portable_synthetic_demo,4,0.25,-0.1200856186652865
D06-05,DEMO-C07,2025-06-01,188797.15,0,portable_synthetic_demo,5,0.4,-0.008194970777881403
D06-06,DEMO-C07,2025-07-01,182635.05,1,portable_synthetic_demo,6,0.3333333333333333,0.1516611132339082
D06-07,DEMO-C07,2025-08-01,150379.91,0,portable_synthetic_demo,7,0.42857142857142855,-0.03263873421818076
D06-08,DEMO-C07,2025-09-01,161646.31,1,portable_synthetic_demo,8,0.375,-0.17660980189728087
D06-09,DEMO-C07,2025-10-01,152580.79,0,portable_synthetic_demo,9,0.4444444444444444,0.0749195820106555
D06-10,DEMO-C07,2025-11-01,114311.23,0,portable_synthetic_demo,10,0.4,-0.056082443205786696
D06-11,DEMO-C07,2025-12-01,165561.03,0,portable_synthetic_demo,11,0.36363636363636365,-0.2508150600085372
D06-12,DEMO-C07,2026-01-01,167315.81,0,portable_synthetic_demo,12,0.3333333333333333,0.44833565346116916
D06-13,DEMO-C07,2026-02-01,170821.36,0,portable_synthetic_demo,13,0.3076923076923077,0.01059899180380793
D06-14,DEMO-C07,2026-03-01,181341.25,0,portable_synthetic_demo,14,0.2857142857142857,0.020951696077017398
D06-15,DEMO-C07,2026-04-01,139332.76,1,portable_synthetic_demo,15,0.26666666666666666,0.06158416020104286
D06-16,DEMO-C07,2026-05-01,147998.83,0,portable_synthetic_demo,16,0.3125,-0.23165435332556708
D06-17,DEMO-C07,2026-06-01,138169.55,0,portable_synthetic_demo,17,0.29411764705882354,0.06219693057110171
D07-00,DEMO-C08,2025-01-01,169584.67,0,portable_synthetic_demo,0,0.0,0.0
D07-01,DEMO-C08,2025-02-01,162178.01,0,portable_synthetic_demo,1,0.0,0.0
D07-02,DEMO-C08,2025-03-01,129183.35,0,portable_synthetic_demo,2,0.0,-0.043675292112193884
D07-03,DEMO-C08,2025-04-01,142997.62,1,portable_synthetic_demo,3,0.0,-0.20344718744544962
D07-04,DEMO-C08,2025-05-01,202441.46,1,portable_synthetic_demo,4,0.25,0.10693537518573398
D07-05,DEMO-C08,2025-06-01,204044.7,0,portable_synthetic_demo,5,0.4,0.41569810742304664
D07-06,DEMO-C08,2025-07-01,140161.31,0,portable_synthetic_demo,6,0.3333333333333333,0.00791952399473912
D07-07,DEMO-C08,2025-08-01,192870.08,0,portable_synthetic_demo,7,0.2857142857142857,-0.3130852700413194
D07-08,DEMO-C08,2025-09-01,183793.82,1,portable_synthetic_demo,8,0.25,0.3760579149838139
D07-09,DEMO-C08,2025-10-01,154938.71,0,portable_synthetic_demo,9,0.3333333333333333,-0.04705893210600618
D07-10,DEMO-C08,2025-11-01,133810.65,1,portable_synthetic_demo,10,0.3,-0.15699717215736642
D07-11,DEMO-C08,2025-12-01,165963.17,0,portable_synthetic_demo,11,0.36363636363636365,-0.13636398547528888
D07-12,DEMO-C08,2026-01-01,123816.85,1,portable_synthetic_demo,12,0.3333333333333333,0.24028371433813392
D07-13,DEMO-C08,2026-02-01,202957.24,0,portable_synthetic_demo,13,0.38461538461538464,-0.2539498371837559
D07-14,DEMO-C08,2026-03-01,170719.6,1,portable_synthetic_demo,14,0.35714285714285715,0.6391730204733845
D07-15,DEMO-C08,2026-04-01,163424.66,0,portable_synthetic_demo,15,0.4,-0.15883956640324823
D07-16,DEMO-C08,2026-05-01,129637.54,0,portable_synthetic_demo,16,0.375,-0.04273053591971866
D07-17,DEMO-C08,2026-06-01,199155.1,0,portable_synthetic_demo,17,0.35294117647058826,-0.20674431875825844
D08-00,DEMO-C09,2025-01-01,155410.31,1,portable_synthetic_demo,0,0.0,0.0
D08-01,DEMO-C09,2025-02-01,169129.31,0,portable_synthetic_demo,1,1.0,0.0
D08-02,DEMO-C09,2025-03-01,188365.19,1,portable_synthetic_demo,2,0.5,0.08827599661824238
D08-03,DEMO-C09,2025-04-01,201478.74,0,portable_synthetic_demo,3,0.6666666666666666,0.11373475123856418
D08-04,DEMO-C09,2025-05-01,172671.65,1,portable_synthetic_demo,4,0.5,0.0696176931629458
D08-05,DEMO-C09,2025-06-01,161646.54,1,portable_synthetic_demo,5,0.6,-0.14297831126003666
D08-06,DEMO-C09,2025-07-01,178729.18,0,portable_synthetic_demo,6,0.6666666666666666,-0.06385014563768857
D08-07,DEMO-C09,2025-08-01,156753.35,1,portable_synthetic_demo,7,0.5714285714285714,0.10567897092013219
D08-08,DEMO-C09,2025-09-01,183824.61,0,portable_synthetic_demo,8,0.625,-0.12295602766151553
D08-09,DEMO-C09,2025-10-01,188020.42,0,portable_synthetic_demo,9,0.5555555555555556,0.1726997222068937
D08-10,DEMO-C09,2025-11-01,168183.43,0,portable_synthetic_demo,10,0.5,0.02282507222509558
D08-11,DEMO-C09,2025-12-01,172321.94,0,portable_synthetic_demo,11,0.45454545454545453,-0.10550444467680702
D08-12,DEMO-C09,2026-01-01,219160.47,0,portable_synthetic_demo,12,0.4166666666666667,0.024607120927430302
D08-13,DEMO-C09,2026-02-01,148415.7,0,portable_synthetic_demo,13,0.38461538461538464,0.27180827931718965
D08-14,DEMO-C09,2026-03-01,138551.74,0,portable_synthetic_demo,14,0.35714285714285715,-0.32279895183652413
D08-15,DEMO-C09,2026-04-01,197006.01,1,portable_synthetic_demo,15,0.3333333333333333,-0.06646170182804124
D08-16,DEMO-C09,2026-05-01,178664.73,0,portable_synthetic_demo,16,0.375,0.4218948820130301
D08-17,DEMO-C09,2026-06-01,163100.6,1,portable_synthetic_demo,17,0.35294117647058826,-0.09310010390038354
D09-00,DEMO-C10,2025-01-01,233599.73,0,portable_synthetic_demo,0,0.0,0.0
D09-01,DEMO-C10,2025-02-01,152590.95,0,portable_synthetic_demo,1,0.0,0.0
D09-02,DEMO-C10,2025-03-01,190448.25,1,portable_synthetic_demo,2,0.0,-0.34678456178010136
D09-03,DEMO-C10,2025-04-01,218814.48,1,portable_synthetic_demo,3,0.3333333333333333,0.24809662696247703
D09-04,DEMO-C10,2025-05-01,199829.36,0,portable_synthetic_demo,4,0.5,0.14894455580452964
D09-05,DEMO-C10,2025-06-01,174587.32,1,portable_synthetic_demo,5,0.4,-0.08676354508166015
D09-06,DEMO-C10,2025-07-01,142940.51,0,portable_synthetic_demo,6,0.5,-0.12631797449583976
D09-07,DEMO-C10,2025-08-01,172691.3,0,portable_synthetic_demo,7,0.42857142857142855,-0.18126637146386115
D09-08,DEMO-C10,2025-09-01,195487.34,0,portable_synthetic_demo,8,0.375,0.2081340692012361
D09-09,DEMO-C10,2025-10-01,197510.7,0,portable_synthetic_demo,9,0.3333333333333333,0.13200456537185146
D09-10,DEMO-C10,2025-11-01,175481.96,0,portable_synthetic_demo,10,0.3,0.010350337776349175
D09-11,DEMO-C10,2025-12-01,211422.35,1,portable_synthetic_demo,11,0.2727272727272727,-0.111531881563885
D09-12,DEMO-C10,2026-01-01,229792.64,0,portable_synthetic_demo,12,0.3333333333333333,0.20480959980159794
D09-13,DEMO-C10,2026-02-01,164441.51,0,portable_synthetic_demo,13,0.3076923076923077,0.08688906352615988
D09-14,DEMO-C10,2026-03-01,199080.89,0,portable_synthetic_demo,14,0.2857142857142857,-0.2843917455319718
D09-15,DEMO-C10,2026-04-01,231087.86,0,portable_synthetic_demo,15,0.26666666666666666,0.21064863731791322
D09-16,DEMO-C10,2026-05-01,221743.98,0,portable_synthetic_demo,16,0.25,0.16077369354738152
D09-17,DEMO-C10,2026-06-01,178204.65,0,portable_synthetic_demo,17,0.23529411764705882,-0.04043431792565813
D10-00,DEMO-C11,2025-01-01,209115.41,1,portable_synthetic_demo,0,0.0,0.0
D10-01,DEMO-C11,2025-02-01,239518.47,0,portable_synthetic_demo,1,1.0,0.0
D10-02,DEMO-C11,2025-03-01,199798.26,0,portable_synthetic_demo,2,0.5,0.14538890271166527
D10-03,DEMO-C11,2025-04-01,244574.87,0,portable_synthetic_demo,3,0.3333333333333333,-0.165833599387972
D10-04,DEMO-C11,2025-05-01,230067.14,0,portable_synthetic_demo,4,0.25,0.2241091088581051
D10-05,DEMO-C11,2025-06-01,243252.05,0,portable_synthetic_demo,5,0.2,-0.05931815480470247
D10-06,DEMO-C11,2025-07-01,248895.13,1,portable_synthetic_demo,6,0.16666666666666666,0.05730896641736831
D10-07,DEMO-C11,2025-08-01,239022.55,1,portable_synthetic_demo,7,0.2857142857142857,0.02319848897470758
D10-08,DEMO-C11,2025-09-01,167361.53,0,portable_synthetic_demo,8,0.375,-0.03966562142055578
D10-09,DEMO-C11,2025-10-01,240961.55,0,portable_synthetic_demo,9,0.3333333333333333,-0.2998086163836843
D10-10,DEMO-C11,2025-11-01,184310.17,0,portable_synthetic_demo,10,0.3,0.4397666536628817
D10-11,DEMO-C11,2025-12-01,178907.32,0,portable_synthetic_demo,11,0.2727272727272727,-0.23510547637164508
D10-12,DEMO-C11,2026-01-01,219109.17,1,portable_synthetic_demo,12,0.25,-0.029313900583999273
D10-13,DEMO-C11,2026-02-01,199277.38,1,portable_synthetic_demo,13,0.3076923076923077,0.22470768663909338
D10-14,DEMO-C11,2026-03-01,161812.87,1,portable_synthetic_demo,14,0.35714285714285715,-0.09051099960809494
D10-15,DEMO-C11,2026-04-01,215323.64,0,portable_synthetic_demo,15,0.4,-0.1880018193735787
D10-16,DEMO-C11,2026-05-01,207276.95,1,portable_synthetic_demo,16,0.375,0.33069538906268714
D10-17,DEMO-C11,2026-06-01,239100.29,0,portable_synthetic_demo,17,0.4117647058823529,-0.0373702116497752
D11-00,DEMO-C12,2025-01-01,261320.56,0,portable_synthetic_demo,0,0.0,0.0
D11-01,DEMO-C12,2025-02-01,208544.06,0,portable_synthetic_demo,1,0.0,0.0
D11-02,DEMO-C12,2025-03-01,235695.52,1,portable_synthetic_demo,2,0.0,-0.20196076420469938
D11-03,DEMO-C12,2025-04-01,232446.26,0,portable_synthetic_demo,3,0.3333333333333333,0.1301953169991991
D11-04,DEMO-C12,2025-05-01,205035.23,0,portable_synthetic_demo,4,0.25,-0.013785836913658691
D11-05,DEMO-C12,2025-06-01,231475.14,0,portable_synthetic_demo,5,0.2,-0.11792416019083292
D11-06,DEMO-C12,2025-07-01,179595.77,0,portable_synthetic_demo,6,0.16666666666666666,0.12895300968521362
D11-07,DEMO-C12,2025-08-01,258261.85,0,portable_synthetic_demo,7,0.14285714285714285,-0.22412501834970278
D11-08,DEMO-C12,2025-09-01,211521.22,0,portable_synthetic_demo,8,0.125,0.4380174432838815
D11-09,DEMO-C12,2025-10-01,252220.41,0,portable_synthetic_demo,9,0.1111111111111111,-0.18098155031414823
D11-10,DEMO-C12,2025-11-01,190626.18,1,portable_synthetic_demo,10,0.1,0.19241185352467238
D11-11,DEMO-C12,2025-12-01,238681.9,1,portable_synthetic_demo,11,0.18181818181818182,-0.24420795287740596
D11-12,DEMO-C12,2026-01-01,160334.88,0,portable_synthetic_demo,12,0.25,0.25209401982455926
D11-13,DEMO-C12,2026-02-01,226986.19,0,portable_synthetic_demo,13,0.23076923076923078,-0.3282486858031547
D11-14,DEMO-C12,2026-03-01,179493.25,1,portable_synthetic_demo,14,0.21428571428571427,0.41570062608959446
D11-15,DEMO-C12,2026-04-01,231723.41,1,portable_synthetic_demo,15,0.26666666666666666,-0.20923272909246154
D11-16,DEMO-C12,2026-05-01,172965.38,1,portable_synthetic_demo,16,0.3125,0.2909867641262276
D11-17,DEMO-C12,2026-06-01,173598.28,0,portable_synthetic_demo,17,0.35294117647058826,-0.25356967602021735
