order_id,customer_id,order_date,order_amount,late_within_120d,data_source
D03-07,DEMO-C04,2025-08-01,125053.34,0,portable_synthetic_demo
D03-08,DEMO-C04,2025-09-01,118836.03,0,portable_synthetic_demo
D03-09,DEMO-C04,2025-10-01,139956.12,0,portable_synthetic_demo
D03-10,DEMO-C04,2025-11-01,89383.97,0,portable_synthetic_demo
D03-11,DEMO-C04,2025-12-01,104372.55,0,portable_synthetic_demo
D03-12,DEMO-C04,2026-01-01,142862.33,0,portable_synthetic_demo
D03-13,DEMO-C04,2026-02-01,125497.56,0,portable_synthetic_demo
D03-14,DEMO-C04,2026-03-01,135376.43,0,portable_synthetic_demo
D03-15,DEMO-C04,2026-04-01,132577.64,0,portable_synthetic_demo
D03-16,DEMO-C04,2026-05-01,95641.94,0,portable_synthetic_demo
D03-17,DEMO-C04,2026-06-01,116502.47,1,portable_synthetic_demo
D04-00,DEMO-C05,2025-01-01,97022.98,0,portable_synthetic_demo
D04-01,DEMO-C05,2025-02-01,146302.09,0,portable_synthetic_demo
D04-02,DEMO-C05,2025-03-01,104851.53,0,portable_synthetic_demo
D04-03,DEMO-C05,2025-04-01,140080.93,0,portable_synthetic_demo
D04-04,DEMO-C05,2025-05-01,122511.38,0,portable_synthetic_demo
D04-05,DEMO-C05,2025-06-01,121668.56,0,portable_synthetic_demo
D04-06,DEMO-C05,2025-07-01,140271.01,0,portable_synthetic_demo
D04-07,DEMO-C05,2025-08-01,154567.73,0,portable_synthetic_demo
D04-08,DEMO-C05,2025-09-01,146635.21,0,portable_synthetic_demo
D04-09,DEMO-C05,2025-10-01,99772.86,0,portable_synthetic_demo
D04-10,DEMO-C05,2025-11-01,141877.95,0,portable_synthetic_demo
D04-11,DEMO-C05,2025-12-01,102886.59,1,portable_synthetic_demo
D04-12,DEMO-C05,2026-01-01,119464.71,0,portable_synthetic_demo
D04-13,DEMO-C05,2026-02-01,139306.2,1,portable_synthetic_demo
D04-14,DEMO-C05,2026-03-01,112949.51,0,portable_synthetic_demo
D04-15,DEMO-C05,2026-04-01,104137.0,0,portable_synthetic_demo
D04-16,DEMO-C05,2026-05-01,120698.79,0,portable_synthetic_demo
D04-17,DEMO-C05,2026-06-01,98618.92,0,portable_synthetic_demo
D05-00,DEMO-C06,2025-01-01,136917.87,0,portable_synthetic_demo
D05-01,DEMO-C06,2025-02-01,112230.91,0,portable_synthetic_demo
D05-02,DEMO-C06,2025-03-01,119064.51,0,portable_synthetic_demo
D05-03,DEMO-C06,2025-04-01,120949.35,0,portable_synthetic_demo
D05-04,DEMO-C06,2025-05-01,126983.11,0,portable_synthetic_demo
D05-05,DEMO-C06,2025-06-01,117563.04,0,portable_synthetic_demo
D05-06,DEMO-C06,2025-07-01,147670.88,0,portable_synthetic_demo
D05-07,DEMO-C06,2025-08-01,142001.88,0,portable_synthetic_demo
D05-08,DEMO-C06,2025-09-01,166806.79,0,portable_synthetic_demo
D05-09,DEMO-C06,2025-10-01,170137.8,0,portable_synthetic_demo
D05-10,DEMO-C06,2025-11-01,165659.94,1,portable_synthetic_demo
D05-11,DEMO-C06,2025-12-01,151304.45,0,portable_synthetic_demo
D05-12,DEMO-C06,2026-01-01,147837.77,0,portable_synthetic_demo
D05-13,DEMO-C06,2026-02-01,126570.35,0,portable_synthetic_demo
D05-14,DEMO-C06,2026-03-01,138230.44,0,portable_synthetic_demo
D05-15,DEMO-C06,2026-04-01,164643.1,0,portable_synthetic_demo
D05-16,DEMO-C06,2026-05-01,145289.74,0,portable_synthetic_demo
D05-17,DEMO-C06,2026-06-01,149234.59,0,portable_synthetic_demo
D06-00,DEMO-C07,2025-01-01,133050.9,1,portable_synthetic_demo
D06-01,DEMO-C07,2025-02-01,157435.58,0,portable_synthetic_demo
D06-02,DEMO-C07,2025-03-01,187846.89,0,portable_synthetic_demo
D06-03,DEMO-C07,2025-04-01,165289.18,0,portable_synthetic_demo
D06-04,DEMO-C07,2025-05-01,163934.64,1,portable_synthetic_demo
D06-05,DEMO-C07,2025-06-01,188797.15,0,portable_synthetic_demo
D06-06,DEMO-C07,2025-07-01,182635.05,1,portable_synthetic_demo
D06-07,DEMO-C07,2025-08-01,150379.91,0,portable_synthetic_demo
D06-08,DEMO-C07,2025-09-01,161646.31,1,portable_synthetic_demo
D06-09,DEMO-C07,2025-10-01,152580.79,0,portable_synthetic_demo
D06-10,DEMO-C07,2025-11-01,114311.23,0,portable_synthetic_demo
D06-11,DEMO-C07,2025-12-01,165561.03,0,portable_synthetic_demo
D06-12,DEMO-C07,2026-01-01,167315.81,0,portable_synthetic_demo
D06-13,DEMO-C07,2026-02-01,170821.36,0,portable_synthetic_demo
D06-14,DEMO-C07,2026-03-01,181341.25,0,portable_synthetic_demo
D06-15,DEMO-C07,2026-04-01,139332.76,1,portable_synthetic_demo
D06-16,DEMO-C07,2026-05-01,147998.83,0,portable_synthetic_demo
D06-17,DEMO-C07,2026-06-01,138169.55,0,portable_synthetic_demo
D07-00,DEMO-C08,2025-01-01,169584.67,0,portable_synthetic_demo
D07-01,DEMO-C08,2025-02-01,162178.01,0,portable_synthetic_demo
D07-02,DEMO-C08,2025-03-01,129183.35,0,portable_synthetic_demo
D07-03,DEMO-C08,2025-04-01,142997.62,1,portable_synthetic_demo
D07-04,DEMO-C08,2025-05-01,202441.46,1,portable_synthetic_demo
D07-05,DEMO-C08,2025-06-01,204044.7,0,portable_synthetic_demo
D07-06,DEMO-C08,2025-07-01,140161.31,0,portable_synthetic_demo
D07-07,DEMO-C08,2025-08-01,192870.08,0,portable_synthetic_demo
D07-08,DEMO-C08,2025-09-01,183793.82,1,portable_synthetic_demo
D07-09,DEMO-C08,2025-10-01,154938.71,0,portable_synthetic_demo
D07-10,DEMO-C08,2025-11-01,133810.65,1,portable_synthetic_demo
D07-11,DEMO-C08,2025-12-01,165963.17,0,portable_synthetic_demo
D07-12,DEMO-C08,2026-01-01,123816.85,1,portable_synthetic_demo
D07-13,DEMO-C08,2026-02-01,202957.24,0,portable_synthetic_demo
D07-14,DEMO-C08,2026-03-01,170719.6,1,portable_synthetic_demo
D07-15,DEMO-C08,2026-04-01,163424.66,0,portable_synthetic_demo
D07-16,DEMO-C08,2026-05-01,129637.54,0,portable_synthetic_demo
D07-17,DEMO-C08,2026-06-01,199155.1,0,portable_synthetic_demo
D08-00,DEMO-C09,2025-01-01,155410.31,1,portable_synthetic_demo
D08-01,DEMO-C09,2025-02-01,169129.31,0,portable_synthetic_demo
D08-02,DEMO-C09,2025-03-01,188365.19,1,portable_synthetic_demo
D08-03,DEMO-C09,2025-04-01,201478.74,0,portable_synthetic_demo
D08-04,DEMO-C09,2025-05-01,172671.65,1,portable_synthetic_demo
D08-05,DEMO-C09,2025-06-01,161646.54,1,portable_synthetic_demo
D08-06,DEMO-C09,2025-07-01,178729.18,0,portable_synthetic_demo
D08-07,DEMO-C09,2025-08-01,156753.35,1,portable_synthetic_demo
D08-08,DEMO-C09,2025-09-01,183824.61,0,portable_synthetic_demo
D08-09,DEMO-C09,2025-10-01,188020.42,0,portable_synthetic_demo
D08-10,DEMO-C09,2025-11-01,168183.43,0,portable_synthetic_demo
D08-11,DEMO-C09,2025-12-01,172321.94,0,portable_synthetic_demo
D08-12,DEMO-C09,2026-01-01,219160.47,0,portable_synthetic_demo
D08-13,DEMO-C09,2026-02-01,148415.7,0,portable_synthetic_demo
D08-14,DEMO-C09,2026-03-01,138551.74,0,portable_synthetic_demo
D08-15,DEMO-C09,2026-04-01,197006.01,1,portable_synthetic_demo
D08-16,DEMO-C09,2026-05-01,178664.73,0,portable_synthetic_demo
D08-17,DEMO-C09,2026-06-01,163100.6,1,portable_synthetic_demo
D09-00,DEMO-C10,2025-01-01,233599.73,0,portable_synthetic_demo
D09-01,DEMO-C10,2025-02-01,152590.95,0,portable_synthetic_demo
D09-02,DEMO-C10,2025-03-01,190448.25,1,portable_synthetic_demo
D09-03,DEMO-C10,2025-04-01,218814.48,1,portable_synthetic_demo
D09-04,DEMO-C10,2025-05-01,199829.36,0,portable_synthetic_demo
D09-05,DEMO-C10,2025-06-01,174587.32,1,portable_synthetic_demo
D09-06,DEMO-C10,2025-07-01,142940.51,0,portable_synthetic_demo
D09-07,DEMO-C10,2025-08-01,172691.3,0,portable_synthetic_demo
D09-08,DEMO-C10,2025-09-01,195487.34,0,portable_synthetic_demo
D09-09,DEMO-C10,2025-10-01,197510.7,0,portable_synthetic_demo
D09-10,DEMO-C10,2025-11-01,175481.96,0,portable_synthetic_demo
D09-11,DEMO-C10,2025-12-01,211422.35,1,portable_synthetic_demo
D09-12,DEMO-C10,2026-01-01,229792.64,0,portable_synthetic_demo
D09-13,DEMO-C10,2026-02-01,164441.51,0,portable_synthetic_demo
D09-14,DEMO-C10,2026-03-01,199080.89,0,portable_synthetic_demo
D09-15,DEMO-C10,2026-04-01,231087.86,0,portable_synthetic_demo
D09-16,DEMO-C10,2026-05-01,221743.98,0,portable_synthetic_demo
D09-17,DEMO-C10,2026-06-01,178204.65,0,portable_synthetic_demo
D10-00,DEMO-C11,2025-01-01,209115.41,1,portable_synthetic_demo
D10-01,DEMO-C11,2025-02-01,239518.47,0,portable_synthetic_demo
D10-02,DEMO-C11,2025-03-01,199798.26,0,portable_synthetic_demo
D10-03,DEMO-C11,2025-04-01,244574.87,0,portable_synthetic_demo
D10-04,DEMO-C11,2025-05-01,230067.14,0,portable_synthetic_demo
D10-05,DEMO-C11,2025-06-01,243252.05,0,portable_synthetic_demo
D10-06,DEMO-C11,2025-07-01,248895.13,1,portable_synthetic_demo
D10-07,DEMO-C11,2025-08-01,239022.55,1,portable_synthetic_demo
D10-08,DEMO-C11,2025-09-01,167361.53,0,portable_synthetic_demo
D10-09,DEMO-C11,2025-10-01,240961.55,0,portable_synthetic_demo
D10-10,DEMO-C11,2025-11-01,184310.17,0,portable_synthetic_demo
D10-11,DEMO-C11,2025-12-01,178907.32,0,portable_synthetic_demo
D10-12,DEMO-C11,2026-01-01,219109.17,1,portable_synthetic_demo
D10-13,DEMO-C11,2026-02-01,199277.38,1,portable_synthetic_demo
D10-14,DEMO-C11,2026-03-01,161812.87,1,portable_synthetic_demo
D10-15,DEMO-C11,2026-04-01,215323.64,0,portable_synthetic_demo
D10-16,DEMO-C11,2026-05-01,207276.95,1,portable_synthetic_demo
D10-17,DEMO-C11,2026-06-01,239100.29,0,portable_synthetic_demo
D11-00,DEMO-C12,2025-01-01,261320.56,0,portable_synthetic_demo
D11-01,DEMO-C12,2025-02-01,208544.06,0,portable_synthetic_demo
D11-02,DEMO-C12,2025-03-01,235695.52,1,portable_synthetic_demo
D11-03,DEMO-C12,2025-04-01,232446.26,0,portable_synthetic_demo
D11-04,DEMO-C12,2025-05-01,205035.23,0,portable_synthetic_demo
D11-05,DEMO-C12,2025-06-01,231475.14,0,portable_synthetic_demo
D11-06,DEMO-C12,2025-07-01,179595.77,0,portable_synthetic_demo
D11-07,DEMO-C12,2025-08-01,258261.85,0,portable_synthetic_demo
D11-08,DEMO-C12,2025-09-01,211521.22,0,portable_synthetic_demo
D11-09,DEMO-C12,2025-10-01,252220.41,0,portable_synthetic_demo
D11-10,DEMO-C12,2025-11-01,190626.18,1,portable_synthetic_demo
D11-11,DEMO-C12,2025-12-01,238681.9,1,portable_synthetic_demo
D11-12,DEMO-C12,2026-01-01,160334.88,0,portable_synthetic_demo
D11-13,DEMO-C12,2026-02-01,226986.19,0,portable_synthetic_demo
D11-14,DEMO-C12,2026-03-01,179493.25,1,portable_synthetic_demo
D11-15,DEMO-C12,2026-04-01,231723.41,1,portable_synthetic_demo
D11-16,DEMO-C12,2026-05-01,172965.38,1,portable_synthetic_demo
D11-17,DEMO-C12,2026-06-01,173598.28,0,portable_synthetic_demo
